Mês;Tag;Evento / Celebração;Data de Início;Data Final;Duração;Horário;Descrição;Tags (Público-Alvo)
Junho;Data Comemorativa;Dia Mundial do Doardor de Sangue;14/06/2026;14/06/2026;Dia todo;Dia todo;Um ato de solidariedade que salva vidas! Celebramos o Dia Mundial do Doador de Sangue conscientizando nossa equipe sobre a importância da doação regular.;Todos
Junho;Festa;Festa Junina EMR;18/06/2026;18/06/2026;2h;15h-22h;Prepara o traje! 🤠 Teremos um momento de descontração com comidas típicas e integração entre as equipes. O objetivo é dar uma pausa na rotina, celebrar nossos resultados e curtir um arraiá com o time todo. Esperamos você!;Todos
Junho;Desenvolvimento Humano Organizacional;PodFalaRH;19/06/2026;19/06/2026;45min;16h-16h50;Nosso podcast interno! Um bate-papo leve e informativo sobre temas que impactam nosso dia a dia, bem-estar e cultura organizacional. Sintonize e participe.;Todos
Junho;Feriado Municipal;Feriado | Corpus Christi;23/06/2026;23/06/2026;Dia todo;Dia todo;Feriado municipal de Corpus Christi. Dia de descanso para todos os colaboradores.;Todos
Junho;Feriado Municipal;Feriado | São João;24/06/2026;24/06/2026;Dia todo;Dia todo;São João (Estadual);Todos
Julho;Campanha Mensal;Julho Amarelo;01/07/2026;01/07/2026;Dia todo;Dia todo;Mês de conscientização sobre as hepatites virais. Informações importantes sobre prevenção diagnóstico precoce e cuidado com a saúde.;Todos
Julho;Desenvolvimento Humano Organizacional;1:1 PDI;07/07/2026;07/07/2026;1h;Dia todo;1:1 de desenvolvimento é um encontro periódico entre líder e liderado com foco na evolução profissional, no fortalecimento de competências e no alinhamento de expectativas de carreira, indo além das demandas operacionais do dia a dia. Seu objetivo é apoiar o crescimento do colaborador por meio de feedback contínuo, reflexão sobre desafios, definição de metas de desenvolvimento e acompanhamento de progresso, promovendo autonomia, engajamento e performance sustentável.;Líder, G&G
Julho;Feriado Municipal;Feriado | Nossa Senhora do Carmo;16/07/2026;16/07/2026;Dia todo;8h-18h;Nossa Senhora do Carmo - Padroeira do Recife (Municipal);Todos
Julho;Profissão;Dia do Pedagogo;27/07/2026;27/07/2026;Dia todo;Dia todo;Homenagem aos profissionais dedicados a planejar;Todos
Agosto;Circuito;Circuito EMR ENAMED - Ceará 2;01/08/2026;01/08/2026;Dia todo;Dia todo;Evento do Circuito EMR ENAMED no Ceará.;Todos
Agosto;Campanha Mensal;Agosto Lilás;01/08/2026;01/08/2026;Dia todo;Dia todo;Campanha de conscientização pelo fim da violência contra a mulher. Momento de reforçar canais de apoio e promover o respeito e a segurança de todas.;Todos
Agosto;Desenvolvimento Humano Organizacional;1:1 PDI;04/08/2026;04/08/2026;Dia todo;Dia todo;1:1 de desenvolvimento é um encontro periódico entre líder e liderado com foco na evolução profissional, no fortalecimento de competências e no alinhamento de expectativas de carreira, indo além das demandas operacionais do dia a dia. Seu objetivo é apoiar o crescimento do colaborador por meio de feedback contínuo, reflexão sobre desafios, definição de metas de desenvolvimento e acompanhamento de progresso, promovendo autonomia, engajamento e performance sustentável.;Líder, G&G
Agosto;Simulado;Simulado Inspirali - Ages Jacobina;05/08/2026;05/08/2026;Dia todo;Dia todo;Simulado Inspirali na Ages Jacobina.;Todos
Agosto;Simulado;Simulado Inspirali - Ages Irecê;05/08/2026;05/08/2026;Dia todo;Dia todo;Simulado Inspirali na Ages Irecê.;Todos
Agosto;Simulado;Simulado Inspirali - UniBH;05/08/2026;05/08/2026;Dia todo;Dia todo;Simulado Inspirali na UniBH.;Todos
Agosto;Simulado;Simulado Inspirali - Unisul Tubarão;05/08/2026;05/08/2026;Dia todo;Dia todo;Simulado Inspirali na Unisul Tubarão.;Todos
